,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
316,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.06,1.62,1.12,"60,67"
688,NBC 79 HEARTH BELOW VAL SQ6 #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6200,4,4.88,1.62,1.36,"78,79"
1141,SF267,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,7985,4,4.26,1.62,N/A,40
1473,WW T26 4CI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.37,1.62,1.45,85-87
845,NBC R65/66 AI DAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.58,1.63,1.69,"78,79"
851,NBC R65/66 AII DICK,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.58,1.63,1.47,"78,79"
890,NBC R65/66 BIII DAN #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.63,1.63,1.50,"78,79"
917,NBC R65/66 YI BETTY#10,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.11,1.63,1.33,"78,79"
1248,WW Q23 4AI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.98,1.63,1.68,85-87
215,EYMU-05 5 III 4(6) #12,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,8000,4,4.62,1.63,1.52,75-77
637,NBC 23.2.79 SQ8 WOTAN #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,5.05,1.63,1.32,"78,79"
759,NBC R 65/66 YI DAN #22,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,3.64,1.63,1.45,"78,79"
772,NBC R64/65 EIII A/8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,3.96,1.63,1.25,"78,79"
1159,WW  S28 3BII #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.67,1.63,1.27,85-87
1190,WW O21 3 #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.30,1.63,1.68,85-87
1514,WW T32 4A+B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.17,1.63,1.20,85-87
191,EYMU-05 5 III 2(2) #11,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,1812,,1812,5,4.83,1.64,1.54,75-77
1203,WW O23 4C #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.91,1.64,2.04,85-87
1452,WW T25 3B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.75,1.64,1.60,85-87
1490,WW T28 3BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.59,1.64,1.55,85-87
2,APOLLO 184 B9/+27 LSA?,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,9000,4,4.99,1.64,1.94,56-58
707,NBC '79 SQ7 WILLEY #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.81,1.64,1.86,"78,79"
829,NBC R65/66 AI BILL #19,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,4.12,1.64,1.17,"78,79"
870,NBC R65/66 BII CARMEL #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,5.58,1.64,1.37,"78,79"
1026,NBC XO BRETT #10,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.31,1.64,1.46,"78,79"
1267,WW R22 4AIV #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.37,1.64,1.65,85-87
1476,WW T27 3AIII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.32,1.64,1.78,85-87
439,HwJf2 J10 3NE,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,4.89,1.65,1.72,72-74
597,NBC 16.2.79 SQ5 VERITY,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.45,1.65,1.67,"78,79"
842,NBC R65/66 AI BONNIE #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2085,2067,2067,5,4.84,1.65,1.55,"78,79"
968,NBC RRI DAN #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.65,1.65,1.36,"78,79"
1404,WW S34 4A+B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.18,1.65,1.16,85-87
369,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.74,1.65,1.54,"60,67"
782,NBC R65.66 BI BOB #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.93,1.65,1.45,"78,79"
918,NBC R65/66 YI BETTY#11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.01,1.65,1.37,"78,79"
