,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
1269,WW R22 4AIV #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.20,0.91,1.75,85-87
1438,WW T24 3AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.20,0.92,1.61,85-87
1306,WW S21 3A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.98,0.97,1.68,85-87
1341,WW S24 2B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.24,0.98,1.95,85-87
1284,WW R23 3A #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.06,1.00,1.50,85-87
863,NBC R65/66 AO CHARLES #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.00,1.02,1.18,"78,79"
1245,WW Q22 3AII #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,2.78,1.03,1.43,85-87
580,NBC 1.2.79 SQ1 MARK,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3350,3586,3586,4,3.37,1.04,1.51,"78,79"
998,NBC XO BETTY #32,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.98,1.04,1.48,"78,79"
1174,WW 4BII #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.38,1.05,1.25,85-87
1419,WW T22 4CI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,3.74,1.06,1.53,85-87
1304,WW R25 4BI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.25,1.06,1.64,85-87
833,NBC R65/66 AI BILL #22,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,3.60,1.07,1.51,"78,79"
1330,WW S23 4AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.33,1.08,1.24,85-87
1170,WW 4BI #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.35,1.08,1.58,85-87
1283,WW R23 3A #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.62,1.08,1.50,85-87
1478,WW T27 3BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.24,1.09,1.26,85-87
1475,WW T27 3AI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.76,1.09,1.76,85-87
417,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.76,1.10,1.95,"60,67"
418,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.13,1.10,1.95,"60,67"
832,NBC R65/66 AI BILL #21,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,3.64,1.12,1.50,"78,79"
1290,WW R23 4AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.96,1.12,1.33,85-87
1494,WW T28 3BII #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.17,1.12,1.04,85-87
1309,WW S22 2B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,2.92,1.13,1.06,85-87
1348,WW S25 3B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,2.95,1.13,1.30,85-87
320,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.49,1.13,1.15,"60,67"
1361,WW S27 3BI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.22,1.14,1.53,85-87
1156,WPS SQ23 170-180,White Paintings Shelter,Botswana,Southern Africa,Newly presented,33470,38323,38323,1,5.72,1.15,1.85,"83,84"
1213,WW O-P 19-24 3 NO LABEL,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,3.91,1.17,1.72,85-87
1411,WW T22 3AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.49,1.18,1.74,85-87
1384,WW S30 3I #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.22,1.18,1.55,85-87
511,KPL Flo 4 Tr.3 N17+16 C5 (#49),Kakapel Rockshelter,Kenya,Eastern Africa,Newly presented,,,710,5,5.09,1.20,1.96,Goldstein et al. forthcoming
1171,WW 4BI #8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.25,1.20,1.25,85-87
770,NBC R64/65 EIII a/1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,3.84,1.20,1.40,"78,79"
1225,WW P22 3 #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.44,1.20,1.67,85-87
1454,WW T25 4BII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.43,1.21,1.41,85-87
1501,WW T29 4C+D,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5900,4,3.95,1.21,1.32,85-87
1162,WW 4AI #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.26,1.22,1.24,85-87
1485,WW T28 3AI #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.09,1.22,1.65,85-87
1239,WW Q21 3A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.35,1.22,1.53,85-87
1329,WW S23 4AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.20,1.22,1.62,85-87
1301,WW R24 4DI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,3.53,1.23,1.63,85-87
1308,WW S22 2B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,3.32,1.23,1.25,85-87
1440,WW T24 4AI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,2.95,1.23,1.40,85-87
1472,WW T26 4BI #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.43,1.23,1.29,85-87
245,EYMU-05 5 III 6(9) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,21000,2,5.63,1.23,1.62,75-77
923,NBC R65/66 YI BETTY#16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.75,1.23,1.54,"78,79"
1333,WW S23 4BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.83,1.23,1.71,85-87
1397,WW S32 3II,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,3.26,1.23,1.45,85-87
1437,WW T24 3A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.24,1.23,1.67,85-87
868,NBC R65/66 BI BETTY #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.41,1.24,1.55,"78,79"
1003,NBC XO BETTY #37,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.79,1.24,1.40,"78,79"
1164,WW 4AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.20,1.24,1.76,85-87
1173,WW 4BII #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.87,1.24,1.38,85-87
1331,WW S23 4AII #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.22,1.24,1.59,85-87
1421,WW T22 4DI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,3.19,1.24,1.51,85-87
725,NBC 8.2.79 SQ1 REG #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5200,4,3.90,1.24,1.62,"78,79"
959,NBC R66 YI BRETT/BONNIE #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,1930,1859,1859,5,3.53,1.24,1.39,"78,79"
1019,NBC XO BETTY #51,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.41,1.24,1.47,"78,79"
1247,WW Q23 3A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.05,1.24,1.54,85-87
773,NBC R64/65 EIV/15,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4000,4,3.19,1.25,1.45,"78,79"
1158,WW  S28 3BII #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,4.03,1.25,1.66,85-87
1299,WW R24 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.80,1.25,1.72,85-87
341,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.06,1.25,1.35,"60,67"
860,NBC R65/66 AO CHARLES #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.76,1.25,1.72,"78,79"
1052,PYS Layer 2 ,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,750,5,4.95,1.25,1.73,"25,80"
1054,PYS Layer 4,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,7600,4,5.63,1.25,1.86,"25,80"
1219,WW P20 3 #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.52,1.25,1.58,85-87
1220,WW P20 3 #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.39,1.26,1.53,85-87
1323,WW S23 3A #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.58,1.26,1.62,85-87
567,NBC /66 YI BRETT #54,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.62,1.26,1.41,"78,79"
769,NBC R64/65  30.12.64 E IV/14 #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3500,4,3.73,1.26,1.65,"78,79"
1231,WW P23 3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.44,1.26,1.87,85-87
1249,WW Q23 4AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.69,1.26,1.67,85-87
1393,WW S31 4A+B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.97,1.26,1.39,85-87
1509,WW T31 4A+B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.63,1.26,1.29,85-87
655,NBC 30.12.70 CI DESMOND #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.42,1.27,1.46,"78,79"
1296,WW R24 4A LF ^2 #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,4.28,1.27,1.47,85-87
631,NBC 23.12.70 BO BOB,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.10,1.27,1.65,"78,79"
565,NBC /66 YI BRETT #52,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.72,1.28,1.53,"78,79"
696,NBC '79 SQ3 VERA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.63,1.28,1.46,"78,79"
933,NBC R65/66 YI BETTY#25,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.25,1.28,1.19,"78,79"
1270,WW R22 4AIV #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.22,1.28,1.26,85-87
1372,WW S28 3BII #8,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,2.86,1.28,1.14,85-87
692,NBC '79 SQ 2 TINA,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5600,4,4.42,1.28,1.41,"78,79"
1020,NBC XO BETTY #52,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.35,1.28,1.20,"78,79"
1175,WW 4BII #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.31,1.28,1.17,85-87
1181,WW O19 4A #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.39,1.28,1.66,85-87
1482,WW T28 3AI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,5.13,1.28,1.73,85-87
1502,WW T30 2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,100,5,4.24,1.28,1.41,85-87
1312,WW S22 3A#3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.64,1.29,1.46,85-87
601,NBC 18.1.71 CII EDWARD #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.62,1.29,1.58,"78,79"
932,NBC R65/66 YI BETTY#24,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.43,1.29,1.10,"78,79"
300,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.34,1.29,1.38,"60,67"
729,NBC 8.2.79 SQ4 RAY PAUL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,4520,5148,5148,4,4.40,1.29,1.77,"78,79"
731,NBC 9.2.79 SQ2 BROWN-ROSE,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5200,4,4.64,1.29,1.39,"78,79"
1136,SF1091,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,14350,3,4.29,1.29,N/A,40
960,NBC R66 YI BRETT/BONNIE #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,1930,1859,1859,5,3.26,1.30,1.10,"78,79"
1415,WW T22 3AI #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.85,1.30,1.47,85-87
570,NBC /66 YI BRETT #57,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.45,1.31,1.32,"78,79"
1282,WW R23 3A #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,5.29,1.31,1.82,85-87
1339,WW S24 2B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.58,1.31,1.43,85-87
1409,WW T22 2B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,3.86,1.31,1.40,85-87
20,APOLLO 273 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,4.03,1.31,1.65,56-58
474,HxJf1 Tp7 30-40,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,6500,4,7.10,1.31,1.84,"33,70,71"
482,HxJf1 Tp8 30-40 #4 AMS 6k,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,6465,7375,7375,4,4.28,1.31,N/A,"33,70,71"
915,NBC R65/66 Y0 BETTY #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.12,1.31,1.63,"78,79"
1185,WW O20 4A #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.55,1.31,1.56,85-87
1201,WW O22 4A #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.00,1.31,1.28,85-87
847,NBC R65/66 AI DAN #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.54,1.32,1.78,"78,79"
972,NBC RRI R.ALEX BI #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,650,611,611,5,3.55,1.32,1.43,"78,79"
1313,WW S22 4AI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.48,1.32,1.65,85-87
301,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.87,1.32,1.39,"60,67"
321,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.52,1.32,1.16,"60,67"
563,NBC /66 YI BRETT #50,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.66,1.32,1.13,"78,79"
1007,NBC XO BETTY #40,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.68,1.32,1.23,"78,79"
1416,WW T22 3AI #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.53,1.32,1.87,85-87
1453,WW T25 4BI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.08,1.33,1.16,85-87
665,NBC 5.2.79 SQ3 NEL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4500,4,4.11,1.34,1.52,"78,79"
666,NBC 5.2.79 SQ4 NEL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4500,4,4.19,1.34,1.56,"78,79"
669,NBC 6.2.79 SQ1 PETER,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,4500,4,3.89,1.34,1.63,"78,79"
1032,NBC XO BRETT #16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.48,1.34,1.36,"78,79"
1371,WW S28 3BII #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.10,1.34,1.34,85-87
1493,WW T28 3BII #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.37,1.34,1.43,85-87
1420,WW T22 4DI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,3.23,1.34,1.43,85-87
1450,WW T25 3AIII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.31,1.34,1.56,85-87
951,NBC R65/66 YO BRETT #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.92,1.35,1.69,"78,79"
727,NBC 8.2.79 SQ1 REVIL #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,5200,4,4.36,1.35,1.66,"78,79"
878,NBC R65/66 BII DAN #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,3.90,1.35,1.45,"78,79"
1011,NBC XO BETTY #44,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.76,1.35,1.61,"78,79"
1018,NBC XO BETTY #50,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.42,1.35,1.17,"78,79"
1034,NBC XO BRETT #18,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.46,1.35,1.35,"78,79"
164,EYMU-05 5 II (1) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,357,357,5,5.43,1.36,1.96,75-77
809,NBC R65/66 AI BABS #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1000,5,4.31,1.36,1.30,"78,79"
886,NBC R65/66 BIII BERT #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,3.36,1.36,1.42,"78,79"
909,NBC R65/66 Y0 BETTY #17,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.60,1.36,1.07,"78,79"
1278,WW R23 2B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,5.41,1.36,1.97,85-87
1382,WW S29 4A+B #9,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.35,1.36,1.43,85-87
1477,WW T27 3BII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.35,1.36,1.45,85-87
616,NBC 20.7.65 R65/66 BII BERT #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,3.34,1.36,1.27,"78,79"
736,NBC BI CEDRIC,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.42,1.36,1.46,"78,79"
1153,WPS '92 SQ22 50-60,White Paintings Shelter,Botswana,Southern Africa,Newly presented,4100,4624,4624,4,4.58,1.37,1.38,"83,84"
1489,WW T28 3AIII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.54,1.37,1.72,85-87
920,NBC R65/66 YI BETTY#13,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.16,1.37,1.43,"78,79"
1002,NBC XO BETTY #36,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.00,1.37,1.64,"78,79"
1016,NBC XO BETTY #49,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.50,1.37,1.06,"78,79"
1168,WW 4BI #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.79,1.37,1.23,85-87
1214,WW O-P 19-24 4C NO LABEL #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.84,1.37,1.70,85-87
1342,WW S24 4CI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,3.50,1.37,1.09,85-87
1436,WW T24 2B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.37,1.37,1.44,85-87
792,NBC R65/66 24.1.66 BI DAVID #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.89,1.38,1.61,"78,79"
1325,WW S23 4A LH,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,4.23,1.38,1.64,85-87
1374,WW S28 4AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.81,1.38,1.39,85-87
1406,WW T21 3A #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.00,1.38,1.47,85-87
557,NBC /66 YI BRETT #45,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,3.53,1.38,1.65,"78,79"
1005,NBC XO BETTY #39,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.78,1.38,1.60,"78,79"
1042,NBC XO BRETT #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.43,1.38,1.78,"78,79"
1271,WW R22 4B RS6/7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.29,1.38,1.57,85-87
599,NBC 18.1.71 CII EDWARD #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.84,1.39,1.72,"78,79"
547,NBC /66 YI BRETT #36,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.51,1.39,1.79,"78,79"
771,NBC R64/65 EIII A/2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,3.94,1.39,1.79,"78,79"
793,NBC R65/66 24.1.66 BI DAVID #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.81,1.39,1.66,"78,79"
1314,WW S22 4AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.39,1.39,1.63,85-87
1370,WW S28 3BI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.98,1.39,1.56,85-87
1402,WW S34 3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.19,1.39,1.53,85-87
318,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.18,1.39,1.13,"60,67"
396,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.00,1.39,1.7,"60,67"
767,NBC R64/65  30.12.64 E IV/14 #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3500,4,3.93,1.39,1.30,"78,79"
1354,WW S26 3AIII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.28,1.39,0.96,85-87
999,NBC XO BETTY #33,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.10,1.39,1.31,"78,79"
887,NBC R65/66 BIII CARMEL,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,3.79,1.40,1.57,"78,79"
1191,WW O21 3 #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.41,1.40,1.58,85-87
1233,WW P23 4A #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.36,1.40,1.67,85-87
1263,WW R22 2B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.17,1.40,1.60,85-87
1265,WW R22 2B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,3.91,1.40,1.62,85-87
1138,SF174,Sehonghong,Lesotho,Southern Africa,Measured from published photo,,,7985,4,4.60,1.40,N/A,40
24,APOLLO 281 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,4.88,1.40,1.33,56-58
810,NBC R65/66 AI BABS #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1000,5,3.00,1.40,0.73,"78,79"
1043,NBC XO BRETT #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.27,1.40,1.53,"78,79"
603,NBC 18.1.71 CII EDWARD #5,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.51,1.41,1.59,"78,79"
844,NBC R65/66 AI BONNIE #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2085,2067,2067,5,4.24,1.41,1.58,"78,79"
1001,NBC XO BETTY #35,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.04,1.41,1.53,"78,79"
1400,WW S33 3I,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.03,1.41,1.47,85-87
375,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.49,1.41,1.56,"60,67"
594,NBC 14.2.79 UNA SQ2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6000,4,4.68,1.41,1.56,"78,79"
1172,WW 4BI #9,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.12,1.41,1.05,85-87
1503,WW T30 3II,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.51,1.41,1.89,85-87
592,NBC 14.11.71 YII EDWARD #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.22,1.42,1.47,"78,79"
614,NBC 20.7.65 R65/66 BII BERT #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,3.55,1.42,1.30,"78,79"
950,NBC R65/66 YO BRETT #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.01,1.42,1.70,"78,79"
1311,WW S22 3A#2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.67,1.42,1.18,85-87
197,EYMU-05 5 III 2(2) #5,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,1812,,1812,5,5.51,1.42,1.48,75-77
387,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.29,1.42,1.66,"60,67"
855,NBC R65/66 AO CHARLES #10&11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.58,1.42,1.15,"78,79"
934,NBC R65/66 YI BETTY#26,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.16,1.42,1.44,"78,79"
963,NBC RRI DAN #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.24,1.42,1.67,"78,79"
